STT,Ten_sp,Gia_moi,Gia_cu,Ten_hang
0,Điện thoại Vivo Y30 4GB/128GB Xanh Dương,4.690.000đ,4.990.000đ,Vivo
1,Điện thoại Samsung Galaxy A21s 3GB/32GB Đen,4.390.000đ,4.690.000đ,Samsung
2,Vsmart Active 3 (4GB/64GB) Đen Thạch Anh,3.290.000đ,3.490.000đ,Vsmart
3,Điện thoại Samsung Galaxy A31 Xanh,5.990.000đ,6.490.000đ,Samsung
4,Điện thoại Samsung Galaxy A51 128GB Xanh,6.990.000đ,7.990.000đ,Samsung
5,Điện thoại OPPO Reno3 Đen,7.290.000đ,8.990.000đ,Oppo
6,Điện thoại Samsung Galaxy A71 Đen,9.190.000đ,10.490.000đ,Samsung
7,Điện thoại Samsung Galaxy A31 Trắng,5.990.000đ,6.490.000đ,Samsung
8,Samsung Galaxy A01 Xanh,2.290.000đ,2.790.000đ,Samsung
9,Nokia 2.3 32GB Green,1.890.000đ,1.990.000đ,Nokia
10,REALME 3 PRO 64GB XANH,3.990.000đ,6.490.000đ,Realme
11,REALME 5 XANH,3.690.000đ,3.990.000đ,Realme
12,Điện thoại OPPO A12 4GB/64GB Đen,3.590.000đ,3.690.000đ,Oppo
15,Xiaomi Redmi Note 8 Đen,4.190.000đ,4.490.000đ,Xiaomi
16,Điện thoại iPhone 11 128GB Đỏ,19.490.000đ,23.990.000đ,iPhone
17,Nokia 2.3 32GB Charcoal,1.890.000đ,1.990.000đ,Nokia
18,Điện thoại Samsung Galaxy Note 10+ Trắng,25.990.000đ,26.990.000đ,Samsung
19,Điện thoại iPhone 11 64GB Đỏ,17.790.000đ,21.990.000đ,iPhone
20,Điện thoại iPhone 11 64GB Xanh lá,17.790.000đ,21.990.000đ,iPhone
21,Điện thoại OPPO A92 Trắng,6.690.000đ,6.990.000đ,Oppo
22,Điện Thoại Itel IT2171 2 Sim (Đen),115.000đ,230.000đ,Điện Thoại Itel
23,Điện thoại iPhone 11 Pro Max 256GB Xanh lá,32.990.000đ,37.990.000đ,iPhone
24,Điện thoại Samsung Galaxy M21 Xanh,4.790.000đ,5.490.000đ,Samsung
25,iPhone 11 Pro 512GB Bạc,31.491.000đ,40.990.000đ,iPhone
26,Điện thoại iPhone 11 Pro 256GB Xám,30.141.000đ,34.990.000đ,iPhone
27,Vivo S1 Pro Đen Phong Cách,6.490.000đ,6.990.000đ,Vivo
28,Vsmart Active 3 (4GB/64GB) Xanh Lục Bảo,3.290.000đ,3.490.000đ,Vsmart
29,Điện thoại iPhone 11 128GB Trắng,19.490.000đ,23.990.000đ,iPhone
32,Điện thoại OPPO Reno3 Xanh,7.290.000đ,8.990.000đ,Oppo
