STT,Ten_sp,Gia_moi,Gia_cu
0,Điện thoại Samsung Galaxy S20+ Xám,19.990.000,23.990.000
1,Điện thoại Samsung Galaxy A31 Xanh,5.990.000,6.490.000
2,Điện thoại Samsung Galaxy A51 128GB Xanh,6.990.000,7.990.000
3,Samsung Galaxy Note 10 Lite Đen,10.490.000,11.490.000
4,Điện thoại iPhone SE 128GB Đen (2020),12.790.000,14.990.000
5,Điện thoại iPhone 11 Pro Max 64GB Vàng đồng,28.990.000,33.990.000
6,Điện thoại OPPO Reno3 Đen,7.290.000,8.990.000
7,Điện thoại Vivo Y30 4GB/128GB Xanh Dương,4.690.000,4.990.000
8,Vsmart Active 3 (4GB/64GB) Đen Thạch Anh,3.290.000,3.490.000
9,Samsung Galaxy S20+ Đen,19.990.000,23.990.000
10,Điện thoại Samsung Galaxy A21s 3GB/32GB Đen,4.390.000,4.690.000
11,Điện thoại Samsung Galaxy A71 Đen,9.190.000,10.490.000
12,Điện thoại Samsung Galaxy A11 Trắng,3.390.000,3.690.000
13,Điện thoại Samsung Galaxy A71 Xanh,9.190.000,10.490.000
14,Điện thoại iPhone 11 Pro Max 64GB Xanh lá,28.990.000,33.990.000
15,Điện thoại Samsung Galaxy A11 Đen,3.390.000,3.690.000
16,Điện thoại Samsung Galaxy A21s 3GB/32GB Xanh,4.390.000,4.690.000
17,Samsung Galaxy Note 10 Lite Bạc,10.490.000,11.490.000
18,Samsung Galaxy A51 128GB Đen,6.990.000,7.990.000
19,Điện thoại Samsung Galaxy A11 Xanh,3.390.000,3.690.000
20,Điện thoại Samsung Galaxy M21 Xanh,4.790.000,5.490.000
21,Điện thoại iPhone SE 64GB Đen (2020),10.990.000,12.990.000
22,Điện thoại Samsung Galaxy M21 Đen,4.790.000,5.490.000
23,Điện thoại Vivo Y30 4GB/128GB Trắng,4.690.000,4.990.000
24,Điện thoại Vsmart Joy 3 (2GB/32GB) Tím san hô,2.090.000,2.290.000
25,Điện thoại iPhone SE 64GB Trắng (2020),10.990.000,12.990.000
26,Điện thoại Vsmart Joy 3 (2GB/32GB) Đen đại dương,2.090.000,2.290.000
27,Điện thoại Vsmart Bee 3 Đen,1.490.000,1.590.000
28,Điện thoại Samsung Galaxy A51 Bạc độc đáo,6.990.000,7.990.000
